full_name_sk,URL,span_crimes,start_crimes,end_crimes,state,state2,victimrace,victimsex,victimagemin,victimagemax,weapon,weapon2,weapon3,victims
Curtis Don Brown,https://en.wikipedia.org/wiki/Curtis_Don_Brown,1985-1986,1985,1986,Texas,nope,in,Female,18,51,"Handgun - pistol, revolver, etc",Strangulation – hanging,"Blunt object - hammer, club, etc",>3
David Bullock (serial killer),https://en.wikipedia.org/wiki/David_Bullock_(serial_killer),1981-1982,1981,1982,New York,nope,in,in,28,50,"Handgun - pistol, revolver, etc",nope,nope,>6
Ted Bundy,https://en.wikipedia.org/wiki/Ted_Bundy,1974-1978,1974,1978,California,in,White,Female,12,29,"Blunt object - hammer, club, etc","Personal weapons, includes beating",nope,36
Angelo Buono Jr.,https://en.wikipedia.org/wiki/Angelo_Buono_Jr.,1977-1978,1977,1978,California,nope,in,Female,12,28,Strangulation – hanging,nope,nope,10
Leslie Burchart,https://en.wikipedia.org/wiki/Leslie_Burchart,1990-1996,1990,1996,Virginia,nope,in,in,35,84,"Blunt object - hammer, club, etc","Personal weapons, includes beating",nope,7
Harvey Carignan,https://en.wikipedia.org/wiki/Harvey_Carignan,1949-1974,1949,1974,Washington,Minnesota,White,Female,20,57,"Blunt object - hammer, club, etc","Personal weapons, includes beating",nope,>13
David Carpenter,https://en.wikipedia.org/wiki/David_Carpenter,1979-1981,1979,1981,California,nope,White,in,18,44,"Handgun - pistol, revolver, etc",Knife or cutting instrument,"Firearm, type not stated",10
Richard Chase,https://en.wikipedia.org/wiki/Richard_Chase,1977-1978,1977,1978,California,Nevada,White,in,0,51,"Handgun - pistol, revolver, etc",nope,nope,6
Juan Chavez,https://en.wikipedia.org/wiki/Juan_Chavez,1986-1990,1986,1990,California,nope,in,Male,45,60,Strangulation – hanging,nope,nope,6
Chicago Strangler,https://en.wikipedia.org/wiki/Chicago_Strangler,2001-2018,2001,2018,Illinois,nope,Black,Female,18,58,Strangulation – hanging,nope,nope,>50
Terry Childs (serial killer),https://en.wikipedia.org/wiki/Terry_Childs_(serial_killer),1979-1985,1979,1985,Nevada,California,White,Female,17,32,"Handgun - pistol, revolver, etc",Knife or cutting instrument,Strangulation – hanging,12
Joseph Christopher,https://en.wikipedia.org/wiki/Joseph_Christopher,1980-1980,1980,1980,New York,Georgia,Black,Male,14,71,"Handgun - pistol, revolver, etc",Knife or cutting instrument,nope,12
Doug Clark (serial killer),https://en.wikipedia.org/wiki/Doug_Clark_(serial_killer),1980-1980,1980,1980,California,nope,White,Female,15,25,"Handgun - pistol, revolver, etc",Knife or cutting instrument,nope,7
Vernon Lee Clark,https://en.wikipedia.org/wiki/Vernon_Lee_Clark,1980-1989,1980,1989,Maryland,nope,White,Female,23,70,Knife or cutting instrument,"Handgun - pistol, revolver, etc","Personal weapons, includes beating",6
Nathaniel Code,https://en.wikipedia.org/wiki/Nathaniel_Code,1984-1987,1984,1987,Louisiana,nope,in,Black,15,28,Strangulation – hanging,"Handgun - pistol, revolver, etc",Knife or cutting instrument,8
Carrol Cole,https://en.wikipedia.org/wiki/Carroll_Cole,1947-1980,1947,1980,California,Nevada,White,Female,26,52,Strangulation – hanging,nope,nope,>13
Alton Coleman,https://en.wikipedia.org/wiki/Alton_Coleman,1984-1984,1984,1984,Illinois,in,Black,in,7,79,Strangulation – hanging,"Handgun - pistol, revolver, etc",Knife or cutting instrument,8
Dellmus Colvin,https://en.wikipedia.org/wiki/Dellmus_Colvin,1987-2005,1987,2005,New Jersey,Ohio,White,Female,27,43,Strangulation – hanging,nope,nope,>7
Rory Enrique Conde,https://en.wikipedia.org/wiki/Rory_Enrique_Conde,1994-1995,1994,1995,Florida,nope,in,Female,21,44,Strangulation – hanging,nope,nope,6
Connecticut River Valley Killer,https://en.wikipedia.org/wiki/Connecticut_River_Valley_Killer,1978-1987,1978,1987,New Hampshire,nope,White,Female,17,38,Knife or cutting instrument,nope,nope,7
Anthony and Nathaniel Cook,https://en.wikipedia.org/wiki/Anthony_and_Nathaniel_Cook,1973-1981,1973,1981,Ohio,nope,White,in,12,24,"Handgun - pistol, revolver, etc","Blunt object - hammer, club, etc","Personal weapons, includes beating",9
Ray and Faye Copeland,https://en.wikipedia.org/wiki/Ray_and_Faye_Copeland,1986-1989,1986,1989,Missouri,nope,White,Male,21,27,"Handgun - pistol, revolver, etc","Firearm, type not stated",Shotgun,>5
Richard Cottingham,https://en.wikipedia.org/wiki/Richard_Cottingham,1967-1980,1967,1980,New York,New Jersey,in,Female,19,29,Strangulation – hanging,Knife or cutting instrument,nope,6
Jeffrey Dahmer,https://en.wikipedia.org/wiki/Jeffrey_Dahmer,1978-1991,1978,1991,Ohio,Wisconsin,in,Male,14,31,"Narcotics or drugs, sleeping pills",Strangulation – hanging,nope,16
Joseph Danks,https://en.wikipedia.org/wiki/Joseph_Danks,1986-1990,1986,1990,California,nope,in,Male,40,67,Knife or cutting instrument,Strangulation – hanging,nope,8
Ronald Dominique,https://en.wikipedia.org/wiki/Ronald_Dominique,1997-2006,1997,2006,Louisiana,nope,in,Male,16,46,Strangulation – hanging,nope,nope,23
Dr. No (serial killer),https://en.wikipedia.org/wiki/Dr._No_(serial_killer),1981-1990,1981,1990,Ohio,Illinois,White,Female,19,31,Strangulation – hanging,"Personal weapons, includes beating","Blunt object - hammer, club, etc",>9
Brian Dugan,https://en.wikipedia.org/wiki/Brian_Dugan,1983-1985,1983,1985,Illinois,nope,White,Female,7,27,Strangulation – hanging,"Personal weapons, includes beating",nope,5
